longitude,latitude,time,year,original_class,class_cropland_full,label_cropland_full
27.07688282,49.49824938,2021-04-15,2021,Cultivated,1,Cropland
27.07688282,49.49824938,2022-04-15,2022,Cultivated,1,Cropland
27.07688282,49.49824938,2023-04-15,2023,Cultivated,1,Cropland
27.07688282,49.49824938,2024-04-15,2024,Cultivated,1,Cropland
35.99257446,47.98453522,2021-04-15,2021,Cultivated,1,Cropland
35.99257446,47.98453522,2022-04-15,2022,Cultivated,1,Cropland
35.99257446,47.98453522,2023-04-15,2023,Cultivated,1,Cropland
35.99257446,47.98453522,2024-04-15,2024,Cultivated,1,Cropland
30.27476699,50.91507618,2021-04-15,2021,Non-crop,2,Non-cropland
30.27476699,50.91507618,2022-04-15,2022,Non-crop,2,Non-cropland
30.27476699,50.91507618,2023-04-15,2023,Non-crop,2,Non-cropland
30.27476699,50.91507618,2024-04-15,2024,Non-crop,2,Non-cropland
26.07130337,50.96925747,2021-04-15,2021,Non-crop,2,Non-cropland
26.07130337,50.96925747,2022-04-15,2022,Non-crop,2,Non-cropland
26.07130337,50.96925747,2023-04-15,2023,Non-crop,2,Non-cropland
26.07130337,50.96925747,2024-04-15,2024,Non-crop,2,Non-cropland
38.4334897,48.50139266,2021-04-15,2021,Non-crop,2,Non-cropland
38.4334897,48.50139266,2022-04-15,2022,Non-crop,2,Non-cropland
38.4334897,48.50139266,2023-04-15,2023,Non-crop,2,Non-cropland
38.4334897,48.50139266,2024-04-15,2024,Non-crop,2,Non-cropland
25.30505046,50.46971613,2021-04-15,2021,Cultivated,1,Cropland
25.30505046,50.46971613,2022-04-15,2022,Cultivated,1,Cropland
25.30505046,50.46971613,2023-04-15,2023,Cultivated,1,Cropland
25.30505046,50.46971613,2024-04-15,2024,Cultivated,1,Cropland
34.36024373,49.03305485,2021-04-15,2021,Non-crop,2,Non-cropland
34.36024373,49.03305485,2022-04-15,2022,Non-crop,2,Non-cropland
34.36024373,49.03305485,2023-04-15,2023,Non-crop,2,Non-cropland
34.36024373,49.03305485,2024-04-15,2024,Non-crop,2,Non-cropland
31.37486449,49.23409014,2021-04-15,2021,Cultivated,1,Cropland
31.37486449,49.23409014,2022-04-15,2022,Cultivated,1,Cropland
