longitude,latitude,time,year,fid,original_class,class_crop_type,label_crop_type
29.43064456,50.13362842,2022-04-15,2022,1,Summer_cro,3,Summer crop
26.80105194,50.72657223,2022-04-15,2022,2,Summer_cro,3,Summer crop
31.63524282,48.25428168,2022-04-15,2022,3,Summer_cro,3,Summer crop
29.38473691,49.9136365,2022-04-15,2022,4,Winter_cer,1,Winter cereals
31.42910993,47.08185134,2022-04-15,2022,5,Winter_cer,1,Winter cereals
32.41604601,48.45012043,2022-04-15,2022,6,Summer_cro,3,Summer crop
36.89110117,49.70894246,2022-04-15,2022,7,Summer_cro,3,Summer crop
34.1980405,45.93802229,2022-04-15,2022,11,Summer_cro,3,Summer crop
28.47413739,49.73523778,2022-04-15,2022,12,Rapeseed,2,Rapeseed
37.83575207,47.73463177,2022-04-15,2022,13,Summer_cro,3,Summer crop
35.21948138,49.26881911,2022-04-15,2022,15,Summer_cro,3,Summer crop
36.78218566,49.69594972,2022-04-15,2022,16,Summer_cro,3,Summer crop
29.09256537,49.57936081,2022-04-15,2022,17,Summer_cro,3,Summer crop
32.53132371,50.04965769,2022-04-15,2022,18,Rapeseed,2,Rapeseed
35.54733415,47.03142545,2022-04-15,2022,19,Summer_cro,3,Summer crop
39.08028214,48.22583772,2022-04-15,2022,20,Winter_cer,1,Winter cereals
34.60833643,45.3697294,2022-04-15,2022,22,Rapeseed,2,Rapeseed
34.10071744,49.38150222,2022-04-15,2022,23,Summer_cro,3,Summer crop
33.21952734,50.3586364,2022-04-15,2022,25,Winter_cer,1,Winter cereals
25.62308225,48.20668688,2022-04-15,2022,26,Summer_cro,3,Summer crop
29.88801397,50.31951728,2022-04-15,2022,27,Rapeseed,2,Rapeseed
34.19106835,45.53115019,2022-04-15,2022,28,Summer_cro,3,Summer crop
33.17381831,47.80334315,2022-04-15,2022,30,Rapeseed,2,Rapeseed
37.0917764,47.09602567,2022-04-15,2022,31,Rapeseed,2,Rapeseed
34.40824618,47.9727935,2022-04-15,2022,32,Summer_cro,3,Summer crop
35.21926597,49.43808385,2022-04-15,2022,34,Summer_cro,3,Summer crop
40.15168116,49.25885325,2022-04-15,2022,35,Summer_cro,3,Summer crop
35.61289907,46.5212195,2022-04-15,2022,36,Winter_cer,1,Winter cereals
32.13333795,46.31895422,2022-04-15,2022,37,Winter_cer,1,Winter cereals
32.78372014,46.32286116,2022-04-15,2022,38,Summer_cro,3,Summer crop
36.53225432,47.1013327,2022-04-15,2022,39,Summer_cro,3,Summer crop
24.71803369,51.01278137,2022-04-15,2022,40,Rapeseed,2,Rapeseed
34.9334034,45.22673509,2022-04-15,2022,41,Winter_cer,1,Winter cereals
37.2631936,48.05027797,2022-04-15,2022,43,Winter_cer,1,Winter cereals
29.29460572,45.67273366,2022-04-15,2022,45,Winter_cer,1,Winter cereals
36.65377537,49.54812649,2022-04-15,2022,46,Winter_cer,1,Winter cereals
36.47657911,47.02837626,2022-04-15,2022,48,Rapeseed,2,Rapeseed
35.53857001,46.8682477,2022-04-15,2022,49,Summer_cro,3,Summer crop
33.98577426,47.09545644,2022-04-15,2022,50,Rapeseed,2,Rapeseed
26.83585767,48.51146039,2022-04-15,2022,51,Summer_cro,3,Summer crop
34.93694216,46.54957722,2022-04-15,2022,52,Winter_cer,1,Winter cereals
36.78536387,49.50577674,2022-04-15,2022,53,Summer_cro,3,Summer crop
33.08932584,47.37086635,2022-04-15,2022,54,Winter_cer,1,Winter cereals
33.73463786,47.8223898,2022-04-15,2022,55,Winter_cer,1,Winter cereals
29.5564387,46.19139913,2022-04-15,2022,56,Rapeseed,2,Rapeseed
33.9338239,45.32614139,2022-04-15,2022,57,Winter_cer,1,Winter cereals
33.3997086,49.55385345,2022-04-15,2022,58,Winter_cer,1,Winter cereals
31.86026131,47.65133655,2022-04-15,2022,59,Winter_cer,1,Winter cereals
35.69570585,46.64321955,2022-04-15,2022,60,Rapeseed,2,Rapeseed
36.31977875,48.30681354,2022-04-15,2022,61,Summer_cro,3,Summer crop
32.66611272,48.83634063,2022-04-15,2022,62,Summer_cro,3,Summer crop
33.90092073,47.02931368,2022-04-15,2022,63,Rapeseed,2,Rapeseed
35.78289438,47.14290095,2022-04-15,2022,64,Rapeseed,2,Rapeseed
38.15466129,49.82393437,2022-04-15,2022,65,Winter_cer,1,Winter cereals
30.23186582,48.23516453,2022-04-15,2022,66,Summer_cro,3,Summer crop
36.75504213,48.6092134,2022-04-15,2022,67,Summer_cro,3,Summer crop
32.47730184,47.16938982,2022-04-15,2022,68,Rapeseed,2,Rapeseed
35.248662,46.96049221,2022-04-15,2022,69,Summer_cro,3,Summer crop
36.86419096,48.1532906,2022-04-15,2022,70,Summer_cro,3,Summer crop
35.69008368,49.16012868,2022-04-15,2022,71,Winter_cer,1,Winter cereals
33.81572686,46.01708245,2022-04-15,2022,73,Summer_cro,3,Summer crop
34.23682926,46.76935982,2022-04-15,2022,75,Rapeseed,2,Rapeseed
34.2996241,50.04240893,2022-04-15,2022,77,Summer_cro,3,Summer crop
34.06143714,46.23673387,2022-04-15,2022,79,Winter_cer,1,Winter cereals
34.29272319,47.63838089,2022-04-15,2022,80,Rapeseed,2,Rapeseed
25.01402352,48.89805533,2022-04-15,2022,81,Rapeseed,2,Rapeseed
32.83951754,49.65596494,2022-04-15,2022,82,Winter_cer,1,Winter cereals
26.6387452,49.22378609,2022-04-15,2022,84,Winter_cer,1,Winter cereals
33.53764763,46.40777964,2022-04-15,2022,85,Summer_cro,3,Summer crop
34.24120245,45.86893759,2022-04-15,2022,86,Winter_cer,1,Winter cereals
36.94895937,47.37687146,2022-04-15,2022,87,Winter_cer,1,Winter cereals
33.76821609,44.99717109,2022-04-15,2022,88,Winter_cer,1,Winter cereals
32.15476067,47.64688246,2022-04-15,2022,89,Summer_cro,3,Summer crop
36.63636594,47.57441241,2022-04-15,2022,90,Summer_cro,3,Summer crop
38.35983735,49.22459575,2022-04-15,2022,91,Winter_cer,1,Winter cereals
33.31221044,46.55285903,2022-04-15,2022,92,Rapeseed,2,Rapeseed
33.77551876,46.61924705,2022-04-15,2022,95,Rapeseed,2,Rapeseed
34.37372233,49.54420644,2022-04-15,2022,98,Summer_cro,3,Summer crop
25.78100836,49.56042618,2022-04-15,2022,99,Summer_cro,3,Summer crop
33.1473233,45.62084227,2022-04-15,2022,100,Summer_cro,3,Summer crop
36.08287261,47.96396585,2022-04-15,2022,101,Rapeseed,2,Rapeseed
36.00523834,47.14619882,2022-04-15,2022,102,Summer_cro,3,Summer crop
26.1049481,49.02179186,2022-04-15,2022,103,Rapeseed,2,Rapeseed
28.09416277,48.90794568,2022-04-15,2022,105,Rapeseed,2,Rapeseed
32.79754556,49.82449118,2022-04-15,2022,106,Summer_cro,3,Summer crop
37.14319917,48.51957011,2022-04-15,2022,107,Summer_cro,3,Summer crop
38.09446672,47.41064567,2022-04-15,2022,109,Summer_cro,3,Summer crop
37.27206853,47.67269875,2022-04-15,2022,110,Summer_cro,3,Summer crop
